,Series_Title,Released_Year,Certificate,Genre,All_Stars,runtime_in_minutes,IMDB_Rating,Meta_score,Director,No_of_Votes,Gross
0,The Shawshank Redemption,1994,A,Drama,Tim Robbins,142,9.3,80.0,Frank Darabont,2343110,"28,341,469"
0,The Shawshank Redemption,1994,A,Drama,Morgan Freeman,142,9.3,80.0,Frank Darabont,2343110,"28,341,469"
0,The Shawshank Redemption,1994,A,Drama,Bob Gunton,142,9.3,80.0,Frank Darabont,2343110,"28,341,469"
0,The Shawshank Redemption,1994,A,Drama,William Sadler,142,9.3,80.0,Frank Darabont,2343110,"28,341,469"
1,The Godfather,1972,A,Crime,Marlon Brando,175,9.2,100.0,Francis Ford Coppola,1620367,"134,966,411"
1,The Godfather,1972,A,Crime,Al Pacino,175,9.2,100.0,Francis Ford Coppola,1620367,"134,966,411"
1,The Godfather,1972,A,Crime,James Caan,175,9.2,100.0,Francis Ford Coppola,1620367,"134,966,411"
1,The Godfather,1972,A,Crime,Diane Keaton,175,9.2,100.0,Francis Ford Coppola,1620367,"134,966,411"
1,The Godfather,1972,A,Drama,Marlon Brando,175,9.2,100.0,Francis Ford Coppola,1620367,"134,966,411"
1,The Godfather,1972,A,Drama,Al Pacino,175,9.2,100.0,Francis Ford Coppola,1620367,"134,966,411"
1,The Godfather,1972,A,Drama,James Caan,175,9.2,100.0,Francis Ford Coppola,1620367,"134,966,411"
1,The Godfather,1972,A,Drama,Diane Keaton,175,9.2,100.0,Francis Ford Coppola,1620367,"134,966,411"
2,The Dark Knight,2008,UA,Action,Christian Bale,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Action,Heath Ledger,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Action,Aaron Eckhart,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Action,Michael Caine,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Crime,Christian Bale,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Crime,Heath Ledger,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Crime,Aaron Eckhart,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Crime,Michael Caine,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Drama,Christian Bale,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Drama,Heath Ledger,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Drama,Aaron Eckhart,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
2,The Dark Knight,2008,UA,Drama,Michael Caine,152,9.0,84.0,Christopher Nolan,2303232,"534,858,444"
3,The Godfather: Part II,1974,A,Crime,Al Pacino,202,9.0,90.0,Francis Ford Coppola,1129952,"57,300,000"
3,The Godfather: Part II,1974,A,Crime,Robert De Niro,202,9.0,90.0,Francis Ford Coppola,1129952,"57,300,000"
3,The Godfather: Part II,1974,A,Crime,Robert Duvall,202,9.0,90.0,Francis Ford Coppola,1129952,"57,300,000"
3,The Godfather: Part II,1974,A,Crime,Diane Keaton,202,9.0,90.0,Francis Ford Coppola,1129952,"57,300,000"
3,The Godfather: Part II,1974,A,Drama,Al Pacino,202,9.0,90.0,Francis Ford Coppola,1129952,"57,300,000"
3,The Godfather: Part II,1974,A,Drama,Robert De Niro,202,9.0,90.0,Francis Ford Coppola,1129952,"57,300,000"
3,The Godfather: Part II,1974,A,Drama,Robert Duvall,202,9.0,90.0,Francis Ford Coppola,1129952,"57,300,000"
3,The Godfather: Part II,1974,A,Drama,Diane Keaton,202,9.0,90.0,Francis Ford Coppola,1129952,"57,300,000"
4,12 Angry Men,1957,U,Crime,Henry Fonda,96,9.0,96.0,Sidney Lumet,689845,"4,360,000"
4,12 Angry Men,1957,U,Crime,Lee J. Cobb,96,9.0,96.0,Sidney Lumet,689845,"4,360,000"
4,12 Angry Men,1957,U,Crime,Martin Balsam,96,9.0,96.0,Sidney Lumet,689845,"4,360,000"
4,12 Angry Men,1957,U,Crime,John Fiedler,96,9.0,96.0,Sidney Lumet,689845,"4,360,000"
4,12 Angry Men,1957,U,Drama,Henry Fonda,96,9.0,96.0,Sidney Lumet,689845,"4,360,000"
4,12 Angry Men,1957,U,Drama,Lee J. Cobb,96,9.0,96.0,Sidney Lumet,689845,"4,360,000"
4,12 Angry Men,1957,U,Drama,Martin Balsam,96,9.0,96.0,Sidney Lumet,689845,"4,360,000"
4,12 Angry Men,1957,U,Drama,John Fiedler,96,9.0,96.0,Sidney Lumet,689845,"4,360,000"
5,The Lord of the Rings: The Return of the King,2003,U,Action,Elijah Wood,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
5,The Lord of the Rings: The Return of the King,2003,U,Action,Viggo Mortensen,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
5,The Lord of the Rings: The Return of the King,2003,U,Action,Ian McKellen,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
5,The Lord of the Rings: The Return of the King,2003,U,Action,Orlando Bloom,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
5,The Lord of the Rings: The Return of the King,2003,U,Adventure,Elijah Wood,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
5,The Lord of the Rings: The Return of the King,2003,U,Adventure,Viggo Mortensen,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
5,The Lord of the Rings: The Return of the King,2003,U,Adventure,Ian McKellen,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
